F043	DISPLAY_CALL_NO	TITLE	URL_Voyager	NORMALIZED_CALL_NO
"  ae-ur---"	"HT169.S64 D44 2013"	"Stalinist city planning : professionals, performance, and power / Heather D. DeHaan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571130	"HT  169            S 64   D 44   2013"
	"GN452.5 .M36 2013"	"Traveler, the tower, and the worm : the reader as metaphor / Alberto Manguel. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571131	"GN  4525           M 36   2013"
"  aa-is---aaw-----ae-uk-en"	"DS126 .T645 2013"	"Two-state solution : the UN partition resolution of mandatory Palestine : analysis and sources / edited by Ruth Gavison ; translation from Hebrew: Gadi Weber ; translation editor: Allan Arkush. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571132	"DS  126            T 645   2013"
	"Q172.5.S95 G64 2013"	"Universe in the rearview mirror : how hidden symmetries shape reality / Dave Goldberg. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571133	"Q  1725           S 95   G 64   2013"
"  an-us---"	"LB1620.5 .F479 2013"	"Wake up, counselors! : restoring counseling services for troubled teens / William L. Fibkins. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571134	"LB 16205           F 479   2013"
"  aa-cc---"	"DS776 .S34 2013"	"Wealth and power : China's long march to the twenty-first century / Orville Schell and John Delury. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571135	"DS  776            S 34   2013"
"  an-us---"	"E184.A1 .P725 2013"	"What is your race? : the census and our flawed efforts to classify Americans / Kenneth Prewitt. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571136	"E  184            A 1   P 725   2013"
	"ML1255 .C26 2013"	"Cambridge companion to the symphony / edited by Julian Horton. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571139	"ML 1255            C 26   2013"
"  an-us---"	"PS3566.O69 Z63 2013"	"Chaim Potok : confronting modernity through the lens of tradition / edited by Daniel Walden. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571140	"PS 3566            O 69   Z 63   2013"
	"PS3605.R554 C44 2013"	"Checked out OK / Corwin Ericson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571141	"PS 3605            R 554   C 44   2013"
	"HT151 .H633 2013"	"Cities are good for you : the genius of the metropolis / Leo Hollis. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571142	"HT  151            H 633   2013"
"  an-us---"	"PS3531.U426 C66 2013"	"Complete short stories of James Purdy / James Purdy ; introduction by John Waters. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571144	"PS 3531            U 426   C 66   2013"
	"LB14.7 .E565 2013"	"Discontinuity in Learning : Dewey, Herbart and Education as Transformation / Andrea R. English, Mount Saint Vincent University. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571148	"LB   147           E 565   2013"
"  af-ua---"	"DT107.87 .E45 2013"	"Egyptian revolution 2.0 : political blogging, civic engagement, and citizen journalism / Mohammed el-Nawawy and Sahar Khamis. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571149	"DT  10787          E 45   2013"
	"PN1995.9.D78 M38 2013"	"Hooked in film : substance abuse on the big screen / John Markert. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4571151	"PN 19959           D 78   M 38   2013"
