Title	Continent	ConName	Country	NationName	State	StateName	Lat	Long	Subject	SubSubject	URL
"Transatlantic pieties : Dutch clergy in colonial America / Leon van den Broeke, Hans Krabbendam, Dirk Mouw, editors. "	n	North America	us	United States	--		38	-97	B	X	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692380
"Shona sentential names : a brief overview / Jacob Mapara. "	f	Africa	rh	Zimbabwe	--		-20	30	D	T	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692388
"African voices on slavery and the slave trade / Alice Bellagamba, Sandra E. Greene, Martin A. Klein with the assistance of Carolyn Brown. "	f	Africa	--		--		2.378	16.063	H	T	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692389
"Constitution of Mexico : a contextual analysis / Jose¿¿ Mari¿¿a Serna de la Garza. "	n	North America	mx	Mexico	--		23	-102	K	G	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692395
"Utopian negotiation : Aphra Behn & Margaret Cavendish / Oddvar Holmesland. "	e	Europe	uk	Great Britain	en		54	-2	P	R	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692398
"War play : video games and the future of armed conflict / Corey Mead. "	n	North America	us	United States	--		38	-97	U	3	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692402
"Imperial stagings : empire and ideology in transatlantic theater of early modern Spain and the New World / by Chad M. Gasta. "	e	Europe	sp	Spain	--		40	-4	P	Q	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692408
"Let freedom ring : Stanley Tretick's iconic images of the March on Washington / Kitty Kelley. "	n	North America	us	United States	dc	Washington D.C.	39.1667	-76.85	F	2	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692416
"Zbig : the strategy and statecraft of Zbigniew Brzezinski / edited by Charles Gati ; with a foreword by President Jimmy Carter. "	n	North America	us	United States	--		38	-97	E	8	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692417
"Slavery and the Enlightenment in the British Atlantic, 1750-1807 / Justin Roberts, Dalhousie University, Nova Scotia. "	e	Europe	uk	Great Britain	--		54	-2	H	T	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692424
"Teaching reading and writing : the developmental approach / Shane Templeton, University of Nevada, Reno, Kristin M. Gehsmann, St. Michael's College, Colchester, Vermont. "	n	North America	us	United States	--		38	-97	L	B	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692425
"Building partnerships in the Americas : a guide for global health workers / edited by Margo J. Krasnoff, MD. "	n	North America	--		--		48.1667	-100.1667	R	A	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4692438
