F043	DISPLAY_CALL_NO	TITLE	URL_Voyager		NORMALIZED_CALL_NO
	"HC106.5 .C34 1967"	"American industry : structure, conduct, performance / RichardCaves. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=143441		"HC  1065           C 34   1967"
"  ae-uk---"	"HJ1030 .P4"	"British rearmament and the Treasury, 1932-1939 / G. C. Peden. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=144501		"HJ 1030            P 4"
"  an-us---ae-ur---"	"UB271.R92 L425"	"Falcon and the Snowman : a true story of friendship and espionage / Robert Lindsey. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=128363		"UB  271            R 92   L 425"
"  an-us---"	"UB251 U5 B35 1982"	"Puzzle palace : a report on America's most secret agency / James Bamford. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=125510		"UB  251            U 5   B 35   1982"
"  an-us---"	"KF4755 .L58"	"Fair game? : Inequality and affirmative action / John C. Livingston. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=126117		"KF 4755            L 58"
	"JA74.5 .P63"	"Political psychology. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=142772		"JA   745           P 63"
"  an-us-il"	"K10 .O874"	"Journal of legal studies. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=170279		"K   10            O 874"
"  an-us---"	"K10 .O934"	"Journal of law & economics. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=170307		"K   10            O 934"
"  an-us---"	"JK6 .F45"	"Federal yellow book. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=151434		"JK    6            F 45"
	"HN1 .S58"	"Social problems. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=194181		"HN    1            S 58"
	"HT321 .J6"	"Journal of urban economics. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=195428		"HT  321            J 6"
	"H61 .M58 1978"	"Methodological approaches to social science / Ian I. Mitroff, Ralph H. Kilmann. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=196734		"H   61            M 58   1978"
"  an-us---"	"HC106.6 .S433 1975"	"United States : a study of a developing country / Ira Sharkansky. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=182614		"HC  1066           S 433   1975"
"  an-us---"	"JK516 .B3"	"Perspectives on the Presidency : a collection / Stanley Bach, George T. Sulzner. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=178151		"JK  516            B 3"
"  an-us---"	"KF8742 .S6 1979"	"Supreme Court policy making : explanation and prediction / Harold J. Spaeth. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=192181		"KF 8742            S 6   1979"
	"HD3842 .C65 1966a"	"Public economics: an analysis of public production and consumption and their relations to the private sectors : proceedings of a conference held by the International Economic Association / edited by J. Margolis and H. Guitton. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=186428		"HD 3842            C 65   1966 A"
"  an-us---"	"UB271 U52 D663 1982"	"Last hero : Wild Bill Donovan : the biography and political experience of Major General William J. Donovan, founder of the OSS and ""father"" of the CIA, from his personal and secret papers and the diaries of Ruth Donovan / Anthony Cave Brown. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=202940		"UB  271            U 52   D 663   1982"
"  an-us---an-us-mian-us-md"	"KF9632 .F55 1982"	"Punishment before trial : an organizational perspective of felony bail processes / Roy B. Flemming. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=220094		"KF 9632            F 55   1982"
	"JF518 .D32"	"Polyarchy; participation and opposition, by Robert A. Dahl. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=220828		"JF  518            D 32"
	"JF2051 .P25"	"Political parties and political development, edited by Joseph La Palombara and Myron Weiner. Contributors: Leonard Binder [and others] "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=221104		"JF 2051            P 25"
"  an-us---"	"JK516 .H5 1973"	"Power of the Presidency : concepts and controversy / edited by Robert S. Hirschfield. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=221687		"JK  516            H 5   1973"
"  an-us---"	"HD4918 .W4"	"Minimum wages : issues and evidence / Finis Welch. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=221724		"HD 4918            W 4"
"  an-us---"	"JK2317 1966 .W5 1966"	"Amateur Democrat : club politics in three cities / by James Q. Wilson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=221992		"JK 2317       1966 W 5   1966"
	"JX1308 .W3"	"Man, the state, and war; a theoretical analysis. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=222473		"JX 1308            W 3"
	"JK681 .V3"	"History of the United States civil service. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=223055		"JK  681            V 3"
"  an-us---"	"HT101 .A5"	"American city & county. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=197422		"HT  101            A 5"
	"JA1 .R4"	"Review of politics. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=198135		"JA    1            R 4"
"  an-us-tx"	"KFT1235 .T4"	"Texas register. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=204102		"KFT 1235            T 4"
	"HC10 .E85"	"Explorations in economic history. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=215753		"HC   10            E 85"
