F043	DISPLAY_CALL_NO	TITLE	URL_Voyager		NORMALIZED_CALL_NO
	"HD62.45 .M835 1985"	"Multinationals and transfer pricing / edited by Alan M. Rugman and Lorraine Eden. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=585289		"HD   6245          M 835   1985"
	"H62 .D688 1985"	"Creative interviewing / Jack D. Douglas. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=585477		"H   62            D 688   1985"
"  ae-fr---ae-uk---ae-gx---"	"U162 .P66 1984"	"Sources of military doctrine : France, Britain, and Germany between the world wars / Barry R. Posen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=586053		"U  162            P 66   1984"
	"JA71 .S6425 1987"	"Political science and political theory / edited by Jessica Kuper. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=598881		"JA   71            S 6425   1987"
		"Special data issue / ICMA "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=580699		
"  an-us---aaz-----"	"UA840 .S36 1987"	"Security of South Asia : American and Asian perspectives / edited by Stephen Philip Cohen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=580764		"UA  840            S 36   1987"
"  aa-le---aa-is---"	"BF575.S75 S772 1986"	"Stress and coping in time of war : generalizations from the Israeli experience / edited by Norman A. Milgram. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=600335		"BF  575            S 75   S 772   1986"
"  an-us---"	"E185.8 .C78 1984"	"Contemporary public policy perspectives and black Americans : issues in an era of retrenchment politics / edited by Mitchell F. Rice and Woodrow Jones, Jr. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=609965		"E  1858           C 78   1984"
"  an-us---"	"Z6673.6.U6 R5 1987"	"Black American health : an annotated bibliography / compiled by Mitchell F. Rice and Woodrow Jones, Jr. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=609967		"Z 66736           U 6   R 5   1987"
"  an-us---"	"JK518 .T84 1987"	"Rhetorical presidency / Jeffrey K. Tulis. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=610233		"JK  518            T 84   1987"
	"JF2011 .I34 1987"	"Ideology, strategy, and party change : spatial analyses of post-war election programmes in 19 democracies / edited by Ian Budge, David Robertson, Derek Hearl. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=610291		"JF 2011            I 34   1987"
	"H61 .E33"	"Policy predicament : making and implementing public policy / George C. Edwards III, Ira Sharkansky. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=629486		"H   61            E 33"
	"UA712 .C66 1978"	"German Army, 1933-1945 : its political and military failure / Matthew Cooper. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=629493		"UA  712            C 66   1978"
	"HB172.5 .S267 1987"	"Exercises in dynamic macroeconomic theory / Rodolfo E. Manuelli and Thomas J. Sargent. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=610619		"HB  1725           S 267   1987"
"  an-us---"	"PN4888.T4 I94 1987"	"News that matters : television and American opinion / Shanto Iyengar and Donald R. Kinder. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=610831		"PN 4888            T 4   I 94   1987"
	"JX1291 .J47"	"Perception and misperception in international politics / Robert Jervis. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=616370		"JX 1291            J 47"
"  ae-ur---an-us---anwcu---"	"E842.9 .E63"	"Legend : the secret world of Lee Harvey Oswald / Edward Jay Epstein. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=623220		"E  8429           E 63"
"  an-us---"	"KF3467 .B3"	"Chains of protection : the judicial response to women's labor legislation / Judith A. Baer. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=624535		"KF 3467            B 3"
	"JK901 .A75"	"Emergence of the modern regulatory state. Introd. by Emmette S. Redford. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=624596		"JK  901            A 75"
	"E841 .S3"	"Thousand days; John F. Kennedy in the White House [by] Arthur M. Schlesinger, Jr. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=626296		"E  841            S 3"
	"VB230 .B8"	"Bucher; my story / by Lloyd M. Bucher, with Mark Rascovich. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=609218		"VB  230            B 8"
	"JF1051 .P5 1967"	"Concept of representation. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=626714		"JF 1051            P 5   1967"
	"E13 .M3"	"America of Jose?? Marti??; selected writings. Translated from the Spanish by Juan de Oni??s, with an introd. by Federico de Oni??s. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=609693		"E   13            M 3"
	"H62 .E85"	"Evaluation research methods : a basic guide / edited by Leonard Rutman. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=621445		"H   62            E 85"
	"HV41 .L53 1980"	"Street-level bureaucracy : dilemmas of the individual in public services / Michael Lipsky. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=653432		"HV   41            L 53   1980"
	"HT119 .S6"	"City and social theory / Michael P. Smith. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=653918		"HT  119            S 6"
	"QA276 .B674"	"Introduction to data analysis / Bruce D. Bowen, Herbert F. Weisberg. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=656212		"QA  276            B 674"
"  an-us---"	"JK2403 .S684"	"State & local government review. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=648162		"JK 2403            S 684"
	"JA66 .D38 1965"	"Elements of political science / Alfred De Grazia. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=631844		"JA   66            D 38   1965"
"  an-us---"	"JC423 .L58 1981"	"Political man : the social bases of politics / Seymour Martin Lipset. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=644375		"JC  423            L 58   1981"
"  an-us---"	"H61 .O7 1961"	"Microanalysis of socioeconomic systems : a simulation study / Guy H. Orcutt ... [et al.]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=632970		"H   61            O 7   1961"
"  an-us---"	"HB119 .G74 1981"	"Economics for the voter / M.L. Greenhut, Charles T. Stewart. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=644979		"HB  119            G 74   1981"
	"H1 .P69"	"Policy review. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=634005		"H    1            P 69"
	"JC251 .G3"	"Introduction to political science : a treatise on the origin, nature, functions, and organization of the state / by James Wilford Garner. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=634390		"JC  251            G 3"
	"JA1 .S27"	"Sage public administration abstracts. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=651934		"JA    1            S 27"
"  an-us---"	"HB235.U6 W33 1965"	"Price theory in action : a book of readings / edited by Donald Stephenson Watson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=646489		"HB  235            U 6   W 33   1965"
	"JA37 .S7"	"What is political philosophy? and other studies. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=652327		"JA   37            S 7"
	"JF2011 .J34 1980"	"Political parties : a cross-national survey / Kenneth Janda. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=641264		"JF 2011            J 34   1980"
	"PQ8519.R6 A8"	"Ariel, by Jose Enrique Rodo, tr., with an introductory essay, by F. J. Stimson (J. S. of Dale) "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=652607		"PQ 8519            R 6   A 8"
	"JS344.C5 C58"	"ICMA newsletter. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=679929		"JS  344            C 5   C 58"
"  ae-gx---"	"DD106 .H47"	"Luxury fleet : the Imperial Germany Navy, 1888-1918 / Holger H. Herwig. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=680296		"DD  106            H 47"
"  an-us---"	"JK1118 .P37"	"Parties, interest groups, and campaign finance laws / edited by Michael J. Malbin. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=682024		"JK 1118            P 37"
	"H1 .P54"	"Philosophy & public affairs. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=656778		"H    1            P 54"
"  aew-----"	"JN94.A1 W46"	"West European politics. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=668511		"JN   94            A 1   W 46"
	"RA421 .J92"	"Journal of public health policy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=668602		"RA  421            J 92"
	"NA9000 .A45"	"Journal of the American Planning Association. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=662913		"NA 9000            A 45"
"  an-us---"	"JK516 .N4 1980"	"Presidential power : the politics of leadership from FDR to Carter / Richard E. Neustadt. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=675191		"JK  516            N 4   1980"
	"B125 .B3 1964a"	"Basic writings of Mo Tzu, Hsun Tzu, and Han Fei Tzu, translated by Burton Watson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=670677		"B  125            B 3   1964 A"
"  an-us---an-us-ct"	"KFX1945.89 .F44"	"Process is the punishment : handling cases in a lower criminal court / Malcolm M. Feeley. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=677101		"KFX 194589          F 44"
"  an-us---"	"HD3616.U47 P64"	"Politics of regulation / James Q. Wilson, editor. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=671748		"HD 3616            U 47   P 64"
	"JC229 .T7713 1980"	"Alexis de Tocqueville on democracy, revolution, and society : selected writings / edited and with an introd. by John Stone and Stephen Mennell. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=677940		"JC  229            T 7713   1980"
"  an-us---"	"JK526 1976 P37"	"Mass media election : how Americans choose their president / Thomas E. Patterson ; sponsored by the Committee on Mass Communications and Political Behavior of the Social Science Research Council. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=660834		"JK  526       1976 P 37"
"  an-us---"	"E185 .W73 1980"	"Declining significance of race : Blacks and changing American institutions / William Julius Wilson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=661664		"E  185            W 73   1980"
	"PS3562.E3 U45 1958"	"Ugly American [by] William J. Lederer and Eugene Burdick. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=696834		"PS 3562            E 3   U 45   1958"
	"DC249 .G85 1955"	"Europe's classical balance of power; a case history of the theory and practice of one of the great concepts of European statecraft. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=720529		"DC  249            G 85   1955"
"  an-us---"	"HD41 .G58 1988"	"Global competitiveness : getting the U.S. back on track / Martin K. Starr, editor. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=754492		"HD   41            G 58   1988"
"  an-us---"	"UA23.6 .M56 1988"	"Politics of resource allocation in the U.S. Department of Defense : international crises and domestic constraints / Alex Mintz. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=754960		"UA   236           M 56   1988"
"  an-us---"	"AY67.N5 W7"	"World almanac and book of facts. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=750175		"AY   67            N 5   W 7"
"  aaw-----ae-ur---an-us---"	"DS63 .K86"	"Origins of the cold war in the Near East : great power conflict and diplomacy in Iran, Turkey, and Greece / Bruce Robellet Kuniholm. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=745115		"DS   63            K 86"
	"HB1 .E26"	"American economic review. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=746732		"HB    1            E 26"
	"GN307.7 .V36 1988"	"Tales of the field : on writing ethnography / John van Maanen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=747157		"GN  3077           V 36   1988"
	"HB801 .K73 1988"	"Notes on the theory of choice / David M. Kreps. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=748100		"HB  801            K 73   1988"
	"HF1713 .A528 1988"	"Relative inefficiency of quotas / James E. Anderson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=748276		"HF 1713            A 528   1988"
"  an-us---"	"H97 .J68"	"Journal of policy analysis and management : [the journal of the Association for Public Policy Analysis and Management]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=776749		"H   97            J 68"
"  an-usu--"	"JA1 .S68"	"Public administration quarterly. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=777060		"JA    1            S 68"
"  aa-ph---an-us---"	"DS682 .A2 1989"	"U.S. Army and counterinsurgency in the Philippine war, 1899- 1902 / Brian McAllister Linn. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=791438		"DS  682            A 2   1989"
"  an-us---"	"JA84.U5 V43 1988"	"Conservative mythology and public policy in America / Arnold Vedlitz. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=771139		"JA   84            U 5   V 43   1988"
"  an-us---"	"JK518 .P72 1985"	"Presidency and public policy making / George C. Edwards, III, Steven A. Shull, Norman C. Thomas, editors. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=771413		"JK  518            P 72   1985"
"  an-us---"	"JK1041 .C36"	"Congress & the presidency. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=777124		"JK 1041            C 36"
"  an-us---"	"JK2403 .S76"	"State legislatures. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=777127		"JK 2403            S 76"
	"H97 .M36 1989"	"Evidence, argument, and persuasion in the policy process / Giandomenico Majone. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=783307		"H   97            M 36   1989"
"  an-us---"	"E183.7 .L27 1989"	"American age : United States foreign policy at home and abroad since 1750 / Walter LaFeber. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=784415		"E  1837           L 27   1989"
	"JS39 .N274"	"Nation's cities weekly [microform]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=778671		"JS   39            N 274"
	"U101 .S95 1983"	"Art of war / by Sun Tzu ; edited & with a foreword by James Clavell. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=766930		"U  101            S 95   1983"
"  an-us---"	"HB3717 1929 .H44 1988"	"Democracies in crisis : public policy responses to the Great Depression / Kim Quaile Hill. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=785500		"HB 3717       1929 H 44   1988"
"  an-us---aa-ir---"	"E183.8.I7 C68 1988"	"Iran and the United States : a cold war case study / Richard W. Cottam. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=767219		"E  1838           I 7   C 68   1988"
"  an-us---"	"HE6371 .T54 1988"	"U.S. Postal Service : status and prospects of a public enterprise / John T. Tierney. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=773315		"HE 6371            T 54   1988"
	"JC143 .M38 1988b"	"Prince / Machiavelli ; edited by Quentin Skinner and Russell Price. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=767891		"JC  143            M 38   1988 B"
	"U263 .W39 1989"	"War and peace in the nuclear age [videorecording] / produced by WGBH/Boston and Central Independent Television/England in association with NHK/Japan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=773725		"U  263            W 39   1989"
"  an-us---"	"HJ10.3 .T39"	"Tax policy and the economy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=779754		"HJ   103           T 39"
"  aa-cc---aa-ch---"	"DS779.215 .C48 1988"	"China's global presence : economics, politics, and security / edited by David M. Lampton and Catherine H. Keyser. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=779859		"DS  779215         C 48   1988"
"  an-us---anwcu---ae-ur---"	"E841 .M43 1988"	"Cuban missile crisis of 1962 : needless or necessary / William J. Medland. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=780008		"E  841            M 43   1988"
	"S942 .M27 1971"	"Encounters with the archdruid [by] John McPhee. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=768110		"S  942            M 27   1971"
"  an-us---"	"QL84.2 .T62 1989"	"Wildlife and the public interest : nonprofit organizations and federal wildlife policy / James A. Tober. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=774224		"QL   842           T 62   1989"
"  an-us---"	"E881 .C75 1989"	"Critical choices / Barry P. Bosworth ... [et al.]. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=774393		"E  881            C 75   1989"
	"QC792 .S93 1988"	"Nuclear age : atomic energy, proliferation, and the arms race / William Sweet. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=780176		"QC  792            S 93   1988"
"  ae-ur---an-us---"	"UB271.R9 K46 1989"	"Moscow station : how the KGB penetrated the American Embassy / Ronald Kessler. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=774940		"UB  271            R 9   K 46   1989"
"  anwcu---"	"F1788 .G777 1987"	"Che Guevara and the Cuban Revolution : writings and speeches of Ernesto Che Guevara / edited by David Deutschmann. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=768989		"F 1788            G 777   1987"
"  an-us---"	"JK2356 .R24 1989"	"Decline and fall of the liberal Republicans : from 1952 to the present / Nicol C. Rae. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=775031		"JK 2356            R 24   1989"
	"JF1351 .R459 1989"	"Job of the public manager / John Rehfuss. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=781076		"JF 1351            R 459   1989"
	"H97 .S75 1988"	"Strategies for policy making / Grover Starling. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=781115		"H   97            S 75   1988"
"  an-us---"	"JK325 .E39 1984"	"American federalism : a view from the States / Daniel J. Elazar. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=781314		"JK  325            E 39   1984"
	"HB139 .A33"	"Advances in econometrics. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=776430		"HB  139            A 33"
	"H97 .P66"	"Policy studies review. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=776599		"H   97            P 66"
	"HD62.6 .W675 2009"	"Nonprofit management : principles and practice / Michael J. Worth. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=3042202		"HD   626           W 675   2009"
	"HV8080.U5 J46 2010"	"Surveillance tradecraft : the professional's guide to surveillance training / Peter Jenkins. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=3853123		"HV 8080            U 5   J 46   2010"
"  an-us---"	"Q127.U6 N398 2008"	"Beyond Sputnik : U.S. science policy in the twenty-first century / Homer A. Neal, Tobin L. Smith, and Jennifer B. McCormick. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=3049897		"Q  127            U 6   N 398   2008"
"  aa-ir---"	"HC475 .I85 1971"	"Economic history of Iran, 1800-1914 / Edited by Charles Issawi. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=3720675		"HC  475            I 85   1971"
	"HF5549.5.R44 H46 2009"	"Staffing organizations / Herbert G. Heneman III, Timothy A. Judge. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=3056237		"HF 55495           R 44   H 46   2009"
	"HM206 .E5"	"Environment and behavior. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=792687		"HM  206            E 5"
"  an-us---"	"HV699 .G67 1994"	"Pitied but not entitled : single mothers and the history of welfare, 1890-1935 / Linda Gordon. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=3061191		"HV  699            G 67   1994"
"  an-us-tx"	"JK4816 .T47 1998"	"Texas politics : a reader / edited by Anthony Champagne and Edward J. Harpham. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=3061193		"JK 4816            T 47   1998"
	"HD4901 .E34 2009"	"Modern labor economics : theory and public policy / Ronald G. Ehrenberg, Robert S. Smith. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=3061354		"HD 4901            E 34   2009"
"  an-us---"	"UA23 .B7855 1989"	"Masks of war : American military styles in strategy and analysis / Carl H. Builder ; foreword by Sam Nunn. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=793106		"UA   23            B 7855   1989"
"  an-us---"	"JX1417 .P55 1988"	"Foreign relations : analysis of its anatomy / Elmer Plischke. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=793509		"JX 1417            P 55   1988"
	"HB172.5 .W55 2011"	"Macroeconomics / Stephen D. Williamson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=3690122		"HB  1725           W 55   2011"
"  an-us---"	"JK585 .E32 1989"	"At the margins : presidential leadership of Congress / George C. Edwards III. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=793699		"JK  585            E 32   1989"
	"JF1001 .T33 1989"	"Seats and votes : the effects and determinants of electoral systems / Rein Taagepera & Matthew Soberg Shugart. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=794451		"JF 1001            T 33   1989"
